smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
c1cc2ccc3ccc4ccc5ccc6c7c5c4c(c1C6)c2c37,2,262,0.7432432432432432,0.7432432432432432,0.0007264614105224609,
Cc1c2cccc3ccc4ccc(cc2)c2c1c3c1c3ccc(cc3)c1c42,29,917,0.75,0.75,0.0008358955383300781,
C=C1C(C)C1C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,20,412,0.725,0.725,0.0008559226989746094,
CCC(C)C(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,19,442,0.725,0.725,0.0009033679962158203,
C1#CC(=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C=C1,16,412,0.725,0.725,0.0008394718170166016,
C=C1C(=CC)C1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,4,233,0.7160493827160493,0.7160493827160493,0.0008230209350585938,
C=CC1=CC1=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,47,654,0.7341772151898734,0.7341772151898734,0.0009052753448486328,
Cc1ccc2ccc3ccc4ccc(c1)c1c2c3c2c3ccc(cc3)c2c41,12,622,0.75,0.75,0.0008380413055419922,
C#CC(C#C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,192,0.7160493827160493,0.7160493827160493,0.0008118152618408203,
CC(C)c1cc2ccc3ccc4ccc1c1c5c6ccc(cc6)c5c2c3c41,11,396,0.7160493827160493,0.7160493827160493,0.0009448528289794922,
C(=C1C#C1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,0,643,0.7631578947368421,0.7631578947368421,0.0008258819580078125,
C=c1c2c3ccccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,1,877,0.7466666666666667,0.7466666666666667,0.0007505416870117188,
CC12C(=c3c4c5ccc6ccc(cc5)c4c4c5ccc(cc5)c4c36)C3C1C32,0,0,0.7160493827160493,0.7160493827160493,0.0009152889251708984,
Cc1c(C2C#C2)c2c1c1c3ccc4ccc(cc3)c1c1c3ccc(cc3)c1c42,0,2,0.7317073170731707,0.7317073170731707,0.0008318424224853516,
