smiles,n_success_mut,n_failures_mut,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,total,obj_computation_time,history_data
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)C(C)C,0,0,0.6941176470588235,0.6941176470588235,0.0004487037658691406,
C=CC=CC=CCC=CC=CC=CC=CC=CC=CC=C(C)C=C,0,0,0.5617977528089888,0.5617977528089888,0.0003910064697265625,
C=CC=CC=CC=CC=CC=CCC=CC=CC=CC=CC(=C)C,0,0,0.5795454545454546,0.5795454545454546,0.0004038810729980469,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)C=CC=CC,0,0,0.6511627906976745,0.6511627906976745,0.00042700767517089844,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CCCCCC,1,2,0.6436781609195402,0.6436781609195402,0.0004265308380126953,
C=CC=CC=CC=CC=CC=CC=CC=CC=C(C)C=CC(C)CC=C,0,0,0.5652173913043478,0.5652173913043478,0.00043392181396484375,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)C(C)C,1,2,0.6235294117647059,0.6235294117647059,0.0004086494445800781,
C#CC(C)=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,7,6,0.6385542168674698,0.6385542168674698,0.0003795623779296875,
C=CC=CC=CC=CC=CC=CC=C(C)C=CC=CC=CC(C)C=C,0,0,0.5494505494505495,0.5494505494505495,0.0004127025604248047,
C=C=CC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5609756097560976,0.5609756097560976,0.00032210350036621094,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,33,48,0.9142857142857143,0.9142857142857143,0.00037670135498046875,
C=CC=CC=CC=CC=CC=CC=CC=CCC=CC(C)C=C,0,0,0.5632183908045977,0.5632183908045977,0.000377655029296875,
C=CC=CC=CC=CC=CC=CC=CC=C(C)C=CC=CC=CC,0,0,0.6162790697674418,0.6162790697674418,0.0003986358642578125,
C=CC=CC=CC=CC=CC=CC=CC1C=CC1=CC=CC=C,0,0,0.5568181818181818,0.5568181818181818,0.00040435791015625,
C=C(C)C=CC=CC=CC=CC=CC=CC=CC=CC=CCC,0,0,0.5632183908045977,0.5632183908045977,0.00039005279541015625,
C=C(C)C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)C,0,0,0.550561797752809,0.550561797752809,0.0004029273986816406,
C=CC=CC=CC=CC=CC=CC=CCC=CC=C,14,4,0.5822784810126582,0.5822784810126582,0.00029850006103515625,
C=CC=CC=CC=CC=CC=CC=CC=CC(C)C=CC,0,0,0.5476190476190477,0.5476190476190477,0.00034618377685546875,
C#CCC=CC=CC=CC=CC=CC=CC=CCC=CC=CC=C,0,0,0.5555555555555556,0.5555555555555556,0.0003991127014160156,
C=CC=CC=CC=CC=CC=CC=CCCC(=C)C=CC=CC=C,0,0,0.5977011494252874,0.5977011494252874,0.0003972053527832031,
C=CC=CC=CC=CC=CC=CCC=CC=CC=CC=CC=CC,0,0,0.6666666666666666,0.6666666666666666,0.00040531158447265625,
C=CC=CC=CC=CC=CC=CC=CC=CC(=C)CCC=C,0,0,0.5465116279069767,0.5465116279069767,0.0003552436828613281,
C=CC=CC=CC=CC=CC=CC=CCC=CC=CC=CCC=C,0,0,0.6091954022988506,0.6091954022988506,0.0004012584686279297,
C=CC=CC=CC=CC(C=C)C=CC=CC=CC=CC=CC,0,0,0.5465116279069767,0.5465116279069767,0.00035762786865234375,
C=CC=CCC=CC=CC=CC=CC=CC=CC=CC=CC(C=C)CC,0,0,0.5760869565217391,0.5760869565217391,0.00043654441833496094,
C=CC=CC=CC=CC(C)=CC=CC=CC=CC=CC=CC=CC,0,0,0.6162790697674418,0.6162790697674418,0.0003871917724609375,
C=CC=CC=CCC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.6666666666666666,0.6666666666666666,0.0003943443298339844,
C=CC=CC=CC=CC=CC=CC=CC=C(C)C=CC=CCC=C,0,0,0.5617977528089888,0.5617977528089888,0.000400543212890625,
C=CC=CC=CC=CC=CCC=CC=CC=CC=C,0,0,0.5822784810126582,0.5822784810126582,0.00030040740966796875,
C=CC=CC=CC=CC=CC=CC(C)=CC=CC=CC=C,0,0,0.6049382716049383,0.6049382716049383,0.0003387928009033203,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC(C)C,0,0,0.5977011494252874,0.5977011494252874,0.00040435791015625,
C=CC=CC=CC=CC=CC=CC=CC=CC=C1C=C(C)C1,0,0,0.5465116279069767,0.5465116279069767,0.0003821849822998047,
