smiles,n_success_mut,n_failures_mut,rediscovery_C(=Cc1ccccc1)c1ccccc1,total,obj_computation_time,history_data
C=C1C=C(C=Cc2ccccc2)CC1,0,0,0.43103448275862066,0.43103448275862066,0.00024008750915527344,
CCC1=CC(C)C(C=Cc2ccccc2)=C1,0,0,0.41935483870967744,0.41935483870967744,0.00027251243591308594,
CCCC1C=CC=C1C=Cc1ccccc1,0,0,0.43548387096774194,0.43548387096774194,0.0002732276916503906,
CC1=CCCC(C=Cc2ccccc2)=C1,0,0,0.43333333333333335,0.43333333333333335,0.00026869773864746094,
CC1=CC=C(C=Cc2ccccc2)CC1C,0,0,0.41935483870967744,0.41935483870967744,0.00027632713317871094,
CC1=C(C=Cc2ccccc2)C2=CC1(C)C=C2,0,0,0.421875,0.421875,0.00032901763916015625,
CC1=C(C=Cc2ccccc2)C(C)C1,0,0,0.41379310344827586,0.41379310344827586,0.0002536773681640625,
CC1(C)CCC=C1C=Cc1ccccc1,0,0,0.4166666666666667,0.4166666666666667,0.0002605915069580078,
CC1C=C(C=Cc2ccccc2)C=CC1,18,13,0.4576271186440678,0.4576271186440678,0.00027108192443847656,
C(=Cc1ccccc1)C1=C2CC(=C1)C2,0,0,0.43103448275862066,0.43103448275862066,0.00029015541076660156,
C=C=CC(=C)C=Cc1ccccc1,0,0,0.3620689655172414,0.3620689655172414,0.00021314620971679688,
C1=CC=CC(=Cc2ccccc2)C=1,0,0,0.39655172413793105,0.39655172413793105,0.00023317337036132812,
C(=Cc1ccccc1)C1=CC2(C=C1)C=C2,14,13,0.5087719298245614,0.5087719298245614,0.0002942085266113281,
CC12C=CCC(=C1)C(C=Cc1ccccc1)=C2,0,0,0.4375,0.4375,0.0003235340118408203,
C1=C2CC1C2=Cc1ccccc1,0,0,0.35714285714285715,0.35714285714285715,0.0002551078796386719,
CC1=C(C=Cc2ccccc2)CC=CCC1,0,0,0.4126984126984127,0.4126984126984127,0.0002841949462890625,
CCC1=CC(CC=Cc2ccccc2)=C1,0,0,0.39344262295081966,0.39344262295081966,0.0002636909484863281,
CC12C=C(C=CC1)C(C=Cc1ccccc1)=C2,0,0,0.4375,0.4375,0.0003285408020019531,
CC12C=CC1C=C2CC=Cc1ccccc1,0,0,0.390625,0.390625,0.0002923011779785156,
CC(=Cc1ccccc1)C1C=C1,0,0,0.35714285714285715,0.35714285714285715,0.00021004676818847656,
CC1=CC=C=CC1=Cc1ccccc1,0,0,0.36065573770491804,0.36065573770491804,0.00024700164794921875,
C=C1CC=CC1C=Cc1ccccc1,0,0,0.4067796610169492,0.4067796610169492,0.0002484321594238281,
C(=Cc1ccccc1)CCC1=C2C=CC21,0,0,0.3870967741935484,0.3870967741935484,0.0002834796905517578,
CC1C2=CC2=C1C=Cc1ccccc1,0,0,0.43103448275862066,0.43103448275862066,0.0002675056457519531,
CC1CC1C=Cc1ccccc1,0,0,0.38181818181818183,0.38181818181818183,0.00021457672119140625,
CC(c1ccccc1)c1ccccc1,10,11,0.509090909090909,0.509090909090909,0.0002522468566894531,
C(=CC1C=C2C=C21)c1ccccc1,0,0,0.42105263157894735,0.42105263157894735,0.0002503395080566406,
CCCC1(C)C=C1C=Cc1ccccc1,0,0,0.4166666666666667,0.4166666666666667,0.0002701282501220703,
CCC(C=Cc1ccccc1)CC,5,2,0.3620689655172414,0.3620689655172414,0.0002105236053466797,
CC1C=C=C(C=Cc2ccccc2)C=C1,5,5,0.4576271186440678,0.4576271186440678,0.0002651214599609375,
C1=CCCCC=1C=Cc1ccccc1,0,0,0.423728813559322,0.423728813559322,0.00024271011352539062,
CC1=CC=CC1C=Cc1ccccc1,0,0,0.43103448275862066,0.43103448275862066,0.00023865699768066406,
C=C1CC=CC=C(C=Cc2ccccc2)C1,0,0,0.43548387096774194,0.43548387096774194,0.0002789497375488281,
CC1(C=Cc2ccccc2)C=CC=CC1,0,0,0.4098360655737705,0.4098360655737705,0.0002567768096923828,
C=C1C=CC(C=Cc2ccccc2)C=C1,0,0,0.43333333333333335,0.43333333333333335,0.0002620220184326172,
CC1=CC(C)CC(C=Cc2ccccc2)=C1,0,0,0.41935483870967744,0.41935483870967744,0.00028204917907714844,
C(=Cc1ccccc1)C1=CC12CC2,12,7,0.45454545454545453,0.45454545454545453,0.0002548694610595703,
CC(C=Cc1ccccc1)=CC1C=C1,0,0,0.3898305084745763,0.3898305084745763,0.00024175643920898438,
C1=CC1=Cc1ccccc1,24,15,0.42,0.42,0.00019884109497070312,
CC1=C(C=Cc2ccccc2)C2C=CC1=C2,0,0,0.43548387096774194,0.43548387096774194,0.0003056526184082031,
C1=CCC(C=Cc2ccccc2)CCC1,0,0,0.359375,0.359375,0.0002720355987548828,
