rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_mean,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_med,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_min,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_max,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.4973509172041454,0.48717948717948717,0.45,0.7272727272727273,0.04066413652510121,0.4973509172041454,0.48717948717948717,0.45,0.7272727272727273,0.04066413652510121,30149,10,92.6002984046936,0,148,38,0,0,0,0,0
0.4979047462233073,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04056476095853932,0.4979047462233073,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04056476095853932,30301,10,93.14797234535217,0,142,39,0,0,0,0,0
0.4984011003784675,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04046817931057038,0.4984011003784675,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04046817931057038,30463,10,93.71007442474365,0,152,58,0,0,0,0,0
0.4988824688220257,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04027215964876485,0.4988824688220257,0.48717948717948717,0.45121951219512196,0.7272727272727273,0.04027215964876485,30631,10,94.27137184143066,0,158,43,0,0,0,0,0
0.49945489343648,0.48717948717948717,0.4523809523809524,0.7272727272727273,0.04006884276710727,0.49945489343648,0.48717948717948717,0.4523809523809524,0.7272727272727273,0.04006884276710727,30722,10,94.56692504882812,0,81,11,0,0,0,0,0
0.4999756725762764,0.48717948717948717,0.4533333333333333,0.7272727272727273,0.04002295402848017,0.4999756725762764,0.48717948717948717,0.4533333333333333,0.7272727272727273,0.04002295402848017,30897,10,95.16141057014465,0,165,39,0,0,0,0,0
0.5004972207498661,0.48717948717948717,0.45569620253164556,0.7272727272727273,0.03991922453091868,0.5004972207498661,0.48717948717948717,0.45569620253164556,0.7272727272727273,0.03991922453091868,31041,10,95.61471700668335,0,134,31,0,0,0,0,0
0.5008478559943027,0.4875,0.45569620253164556,0.7272727272727273,0.0397800937464703,0.5008478559943027,0.4875,0.45569620253164556,0.7272727272727273,0.0397800937464703,31109,10,95.87405109405518,0,58,33,0,0,0,0,0
0.5013178202937965,0.4875,0.4567901234567901,0.7272727272727273,0.03966498674888318,0.5013178202937965,0.4875,0.4567901234567901,0.7272727272727273,0.03966498674888318,31254,10,96.36634111404419,0,135,49,0,0,0,0,0
0.501761534389242,0.4875,0.4567901234567901,0.7272727272727273,0.03953589334376335,0.501761534389242,0.4875,0.4567901234567901,0.7272727272727273,0.03953589334376335,31482,10,97.14692068099976,0,218,57,0,0,0,0,0
0.5020767679290008,0.4875,0.4567901234567901,0.7272727272727273,0.03942350407499489,0.5020767679290008,0.4875,0.4567901234567901,0.7272727272727273,0.03942350407499489,31614,10,97.60678553581238,0,122,40,0,0,0,0,0
0.50241217123458,0.4875,0.4567901234567901,0.7272727272727273,0.039308336284321954,0.50241217123458,0.4875,0.4567901234567901,0.7272727272727273,0.039308336284321954,31857,10,98.43406891822815,0,233,57,0,0,0,0,0
0.5029627504837492,0.4936708860759494,0.4567901234567901,0.7272727272727273,0.03919186043308312,0.5029627504837492,0.4936708860759494,0.4567901234567901,0.7272727272727273,0.03919186043308312,32017,10,98.95446109771729,0,150,36,0,0,0,0,0
0.5034583071976055,0.4936708860759494,0.4578313253012048,0.7272727272727273,0.03908900252326009,0.5034583071976055,0.4936708860759494,0.4578313253012048,0.7272727272727273,0.03908900252326009,32201,10,99.54250192642212,0,174,59,0,0,0,0,0
