smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
c1c2cccc3cccc2c2c4cccc5cccc4c2c(c#1)c35,0,89,0.6923076923076923,0.6923076923076923,0.0007727146148681641,
c1ccc2c3ccc3c3c(c1)cccc1c4cccc3c2c14,0,2,0.726027397260274,0.726027397260274,0.0005946159362792969,
CCCC=c1c2cccc3cccc1c1c4cccc2cccc4c31,1,159,0.6962025316455697,0.6962025316455697,0.0006346702575683594,
c1cc2cc3c4cccc5cccc(c1)c4c5c1ccc1c23,1,207,0.726027397260274,0.726027397260274,0.00057220458984375,
c1cc2ccc3cc4c5cccc3c2c2cccc(c1)c4c52,0,32,0.7027027027027027,0.7027027027027027,0.0006062984466552734,
CCC(C)=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,4,105,0.7051282051282052,0.7051282051282052,0.0006198883056640625,
C1=CC(=c2c3cccc4c5cccc6cccc5c4c(ccc3)c26)C1,0,2,0.6962025316455697,0.6962025316455697,0.0006654262542724609,
c1cc2cccc3c(c1)c1c4cccc(c5cc(cc4)c25)c31,3,210,0.726027397260274,0.726027397260274,0.0005943775177001953,
Cc1ccc2c3cccc1c1cccc4cccc1c3c42,1,359,0.6944444444444444,0.6944444444444444,0.0004956722259521484,
C=C=c1c2ccccc3c4cccc5ccc(cccc2c14)c53,1,87,0.7066666666666667,0.7066666666666667,0.0005602836608886719,
c1cc2ccc3cccc4c2c2cccc5cccc(c3c5c1)c24,1,26,0.7368421052631579,0.7368421052631579,0.0007443428039550781,
C=CCC=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,2,59,0.6962025316455697,0.6962025316455697,0.0006120204925537109,
c1ccc2c3cccc4cccc5c(c1)c1ccc(c45)c3c12,0,75,0.726027397260274,0.726027397260274,0.0005822181701660156,
Cc1cccc2cccc3cc4c5cccc1c2c4cccc35,0,19,0.7066666666666667,0.7066666666666667,0.0005133152008056641,
c1c2cccc3cccc4c5cccc6cccc5c3c6c4c2c#1,0,35,0.6923076923076923,0.6923076923076923,0.0007066726684570312,
C=CC=c1c2c3cccc4cccc4c4cccc=2cccc4c1=3,2,45,0.7012987012987013,0.7012987012987013,0.0005936622619628906,
Cc1cc2cccc2c2c3cccc4c(ccc3)c3c2cccc1c43,5,230,0.6962025316455697,0.6962025316455697,0.0006716251373291016,
Cc1ccc2cccc3cccc4c1cccc(c1cc(C)c31)c24,1,63,0.6883116883116883,0.6883116883116883,0.0005605220794677734,
CCCC=c1c2cccc3cccc4c5cccc3c(ccc2)c4c15,2,118,0.6962025316455697,0.6962025316455697,0.0006182193756103516,
c1ccc2ccc3c4cccc5c3c3cccc(c1)c5c4c23,0,110,0.7027027027027027,0.7027027027027027,0.0007483959197998047,
C1=CC1=c1c2c3cccc4c(cccc5cccc52)c1c4ccc3,4,253,0.7236842105263158,0.7236842105263158,0.0006885528564453125,
